Name	Set	Set #	Imagefile	Side	Culture	Type	Twilight	Strength	Vitality	Resistance	Signet/Site#	Unique	Rarity	Card#	Notes	Lore	Text
Uruk Regular	The Two Towers	4	LOTR04192	Shadow	Isengard	Minion - Uruk-hai	3	8	2		5		C	192	This card?s special ability makes the twilight cost of an Uruk-hai -1 for each Uruk-hai you spot other than this card. For example: if you have four Uruk Regulars in play and you use the special ability on one of them to play an Uruk Searcher (twilight cost of 4), the Searcher?s twilight cost is 1. 	'We are the Uruk-hai; we do not stop the fight for night or day, for fair weather or for storm.'	Damage +1. Shadow: Exert this minion to play an Uruk-hai; its twilight cost is -1 for each other Uruk-hai you can spot.
Uruk Runner	The Two Towers	4	LOTR04193	Shadow	Isengard	Minion - Uruk-hai	3	8	2		5		C	193		'Run, curse you! Run while night lasts!'	Tracker. Fierce. During a fierce skirmish involving this minion, it is strength +2.
Uruk Searcher	The Two Towers	4	LOTR04194	Shadow	Isengard	Minion - Uruk-hai	4	9	2		5		U	194		'Why don't we search them and find out?'	Tracker. Fierce. While skirmishing a character bearing a search card, this minion is strength +2 and damage +1.
Uruk Seeker	The Two Towers	4	LOTR04195	Shadow	Isengard	Minion - Uruk-hai	2	6	2		5		C	195		'No crying out, no trying to escape.'	Tracker. Fierce. While skirmishing a character bearing a search card, this minion is strength +2 and damage +1.
Uruk Spear	The Two Towers	4	LOTR04196	Shadow	Isengard	Possession - Hand Weapon	1	2					C	196		The Uruk-hai braced their long pikes to challenge the oncoming Riders.	Bearer must be an Uruk-hai. Maneuver: Exert bearer to discard a Free Peoples mount.
Uruk Stalker	The Two Towers	4	LOTR04197	Shadow	Isengard	Minion - Uruk-hai	3	8	2		5		C	197		A moment they hesitated, and then on they came.	Damage +1. While an ally is in the dead pile, this minion is strength +3 and fierce.
Uruk Stormer	The Two Towers	4	LOTR04198	Shadow	Isengard	Minion - Uruk-hai	3	8	2		5		C	198		They wavered, broke, and fled back; and then charged again, broke and charged again; and each time, like the incoming sea, they halted at a higher point.	Damage +1. Each time a companion or ally is killed during a skirmish involving an Uruk-hai, you may take control of a site.
Uruk Trooper	The Two Towers	4	LOTR04199	Shadow	Isengard	Minion - Uruk-hai	4	9	2		5		R	199		Thousands of Uruk-hai came to take the Hornburg.	Damage +1. Regroup: Stack this minion on a site you control. Shadow: If stacked on a site you control, play this minion. Its twilight cost is -1.
Uruk Vanguard	The Two Towers	4	LOTR04200	Shadow	Isengard	Minion - Uruk-hai	10	17	4		5		R	200		'These are Uruk-hai - their armour is thick, their shields broad.'	Damage +1 (or damage +2 if at a battleground). To play, spot an Uruk-hai. While at a battleground, this minion is fierce.
Uruk Veteran	The Two Towers	4	LOTR04201	Shadow	Isengard	Minion - Uruk-hai	3	8	2		5		U	201		'We come to kill, by sun or moon.'	Damage +1. Regroup: Stack this minion on a site you control. Shadow: If stacked on a site you control, play this minion. Its twilight cost is -1.
Uruk-hai Band	The Two Towers	4	LOTR04202	Shadow	Isengard	Minion - Uruk-hai	5	10	3		5		U	202		There were four... of greater stature, swart, slant-eyed, with thick legs and broad hands.	Damage +1. This minion is strength +2 for each site you control.
Uruk-hai Horde	The Two Towers	4	LOTR04203	Shadow	Isengard	Minion - Uruk-hai	6	12	3		5		R	203		The rumour of war grew behind them.	Damage +1. The twilight cost of this minion is -1 for each site you control.
Uruk-hai Marauder	The Two Towers	4	LOTR04204	Shadow	Isengard	Minion - Uruk-hai	3	8	2		5		C	204		'We shall have some fun later.'	Damage +1. The twilight cost of this minion is -1 for each site you control.
Uruk-hai Mob	The Two Towers	4	LOTR04205	Shadow	Isengard	Minion - Uruk-hai	5	10	3		5		U	205		'Let the fighting Uruk-hai do the work, as usual.'	Damage +1. The twilight cost of this minion is -1 for each site you control.
Uruk-hai Patrol	The Two Towers	4	LOTR04206	Shadow	Isengard	Minion - Uruk-hai	4	9	2		5		C	206		'We are the servants of Saruman the Wise....'	Damage +1(or damage +2 while you control a site).
Uruk-hai Raiding Party	The Two Towers	4	LOTR04207	Shadow	Isengard	Minion - Uruk-hai	4	9	3		5		C	207		Bands of Uruks crossed the plains of Rohan.	Damage +1.
Vengeance	The Two Towers	4	LOTR04208	Shadow	Isengard	Event	0						U	208		Saruman instilled a spirit for revenge in his fighting brood.	Skirmish: Make an [ISENGARD] tracker strength +2 for each card borne by the character it is skirmishing.
Volley Fire	The Two Towers	4	LOTR04209	Shadow	Isengard	Event	3						R	209		Defenders on the walls made perfect targets for the Isengard crossbowmen.	Archery: Discard 2 [ISENGARD] archers to exhaust an unbound companion.
We Are the Fighting Uruk-hai	The Two Towers	4	LOTR04210	Shadow	Isengard	Event	1						C	210		'But for us you'd all have run away.'	Skirmish: Make an Uruk-hai strength +2 (and damage +1 if you control a site).
Weapons of Isengard	The Two Towers	4	LOTR04211	Shadow	Isengard	Condition	2						R	211		Crossbowmen arrived with munitions from Isengard.	Machine. Plays to your support area. Shadow: Play an [ISENGARD] archer to place an [ISENGARD] token on this card. Archery: Remove 2 [ISENGARD] tokens from this card to make the minion archery total +2. Discard this condition.
Weary	The Two Towers	4	LOTR04212	Shadow	Isengard	Condition	1						C	212		'We shall not turn back here.'	Search. Plays on a companion or ally. Limit 1 per character. Each time the Free Peoples player assigns bearer to skirmish an [ISENGARD] tracker, bearer must exert.
What Did You Discover?	The Two Towers	4	LOTR04213	Shadow	Isengard	Condition	1						R	213		'The scouts have come back at last.'	Search. Plays to your support area. Each time the fellowship moves during the regroup phase, you may discard 2 cards from hand to take an [ISENGARD] tracker from your discard pile into hand.
Where Has Grima Stowed It?	The Two Towers	4	LOTR04214	Shadow	Isengard	Event	2						R	214		'Loth was he to render up the keys. Many other things are there which men have missed.'	Maneuver: Spot Grima to discard a possession borne by an ally or unbound companion.
Wounded	The Two Towers	4	LOTR04215	Shadow	Isengard	Condition	0						R	215		'He's alive!'	To play, exert an [ISENGARD] Man. Plays on a Free Peoples Man. When you play this condition, exert bearer. Wounds may not be removed from bearer.
Arrow From the South	The Two Towers	4	LOTR04216	Shadow	Raider	Condition	2					U	U	216		Haradrim is the Gondorian name for Southrons.	Plays to your support area. Each time a companion or ally loses a skirmish involving a [RAIDER] Man, you may place a [RAIDER] token here. Archery: Heal a [RAIDER] archer for each [RAIDER] token here. Discard this condition.
Desert Lancers	The Two Towers	4	LOTR04217	Shadow	Raider	Minion - Man	5	11	3		4	U	U	217		'Mordor has allied itself with... the cruel Haradrim....'	Southron. To play, spot a [RAIDER] Man. Regroup: Exert Desert Lancers twice to take control of a site.
Desert Legion	The Two Towers	4	LOTR04218	Shadow	Raider	Minion - Man	6	13	3		4	U	R	218			Southron. Ambush (1). While you can spot 4 burdens, this minion is strength +5. While you can spot 5 burdens, this minion is fierce. While you can spot 6 burdens, this minion is damage +1.
Desert Lord	The Two Towers	4	LOTR04219	Shadow	Raider	Minion - Man	6	11	3		4	U	R	219		Southron legends tell of powerful warrior leaders and the kingdoms they have conquered.	Southron. Archer. Archery: Exert Desert Lord to exert a companion (except the Ring-bearer); Desert Lord does not add to the minion archery total.
Desert Lord (T)	The Two Towers	4	LOTR04219T	Shadow	Raider	Minion - Man	6	11	3		4	U	R	219T	Tengwar	Southron legends tell of powerful warrior leaders and the kingdoms they have conquered.	Southron. Archer. Archery: Exert Desert Lord to exert a companion (exept the Ring-bearer); Desert Lord does not add to the minion archery total. 
Desert Soldier	The Two Towers	4	LOTR04220	Shadow	Raider	Minion - Man	4	9	2		4		U	220	Version: *. 	'Not nice; very cruel wicked Men they look.'	Southron. At the start of each skirmish involving this minion, you may remove (3) to wound a companion or ally he is skirmishing.
Desert Spearman	The Two Towers	4	LOTR04221	Shadow	Raider	Minion - Man	3	8	2		4		C	221	Version: *. 	Long spears are used by Southrons to attack while riding desert beasts.	Southron. At the start of each skirmish involving this minion, you may remove (3) to wound a companion or ally he is skirmishing.
Desert Warrior	The Two Towers	4	LOTR04222	Shadow	Raider	Minion - Man	2	6	2		4		C	222		The Haradrim wear cloaks and head wraps to survive the deserts of their homeland.	Southron. At the start of each skirmish involving this minion, you may remove (3) to wound a companion or ally he is skirmishing.
Discovered	The Two Towers	4	LOTR04223	Shadow	Raider	Event	1						R	223		The voices and the clink of weapons and harness were very close.	Maneuver: Exert a [RAIDER] Man to discard a Free Peoples condition (or 2 Free Peoples conditions if you spot 3 burdens).
Easterling Axeman	The Two Towers	4	LOTR04224	Shadow	Raider	Minion - Man	2	6	2		4		C	224		Poleaxes wielded by tall Easterling warriors cut through armor and bone.	Easterling. While you can spot 2 burdens, this minion is strength +3 and fierce.
Easterling Captain	The Two Towers	4	LOTR04225	Shadow	Raider	Minion - Man	5	11	3		4	U	R	225			Easterling. Fierce. Skirmish: Spot 2 burdens and remove (2) to make an Easterling strength +2. Skirmish: Spot 4 burdens and remove (2) to make an Easterling strength +3. Skirmish: Spot 6 burdens and remove (2) to make an Easterling strength +4.
Easterling Captain (T)	The Two Towers	4	LOTR04225T	Shadow	Raider	Minion - Man	5	11	3		4	U	R	225T	Tengwar		Easterling. Fierce. Skirmish: Spot 2 burdens and remove (2) to make an Easterling strength +2. Skirmish: Spot 4 burdens and remove (2) to make an Easterling strength +3. Skirmish: Spot 6 burdens and remove (2) to make an Easterling strength +4. 
Easterling Guard	The Two Towers	4	LOTR04226	Shadow	Raider	Minion - Man	4	9	2		4		C	226		Armored Easterlings protect their commanders from enemy assaults.	Easterling. Each time this minion is assigned to an unbound companion, you may exert him to add a burden.
Easterling Infantry	The Two Towers	4	LOTR04227	Shadow	Raider	Minion - Man	3	8	2		4		C	227		Sometimes called the Men of Rh?n, the Easterlings hated Gondor for her riches.	Easterling. While you can spot 3 burdens, this minion is fierce and damage +1.
Easterling Lieutenant	The Two Towers	4	LOTR04228	Shadow	Raider	Minion - Man	3	8	2		4		C	228		'Easterlings... have passed through the Black Gate....'	Easterling. Each time this minion is assigned to an unbound companion, you may exert him to add a burden.
Easterling Skirmisher	The Two Towers	4	LOTR04229	Shadow	Raider	Minion - Man	1	5	1		4		R	229		Enemy formations are threatened by the spears of Easterling light troops.	Easterling. When you play this minion, you may spot another Easterling to add (1) for each burden (limit (4)).
Easterling Trooper	The Two Towers	4	LOTR04230	Shadow	Raider	Minion - Man	4	9	2		4		U	230		Trained Easterling fighters formed ranks of axes and spears to charge the knights of Gondor.	Easterling. While you can spot 3 burdens, this minion is fierce and damage +1.
Eastern Emyn Muil	The Two Towers	4	LOTR04231	Shadow	Raider	Condition	0					U	R	231		The Emyn Muil was a strange, twisted knot of hills.	Plays to your support area. Each Ring-bound companion moving from site 2T must exert twice. Maneuver: Discard this condition and exert a [RAIDER] Man to exert a Ringbound companion.
Elite Archer	The Two Towers	4	LOTR04232	Shadow	Raider	Minion - Man	4	8	2		4		U	232		Veteran bowmen are highly valued in the kingdoms of the South.	Southron. Archer. Archery: Exert this minion to exert a companion (except the Ring-bearer); this minion does not add to the minion archery total.
Fearless	The Two Towers	4	LOTR04233	Shadow	Raider	Event	2						U	233		Despite their foreign ways, the Men from the South and East were formidable fighters.	Skirmish: Make a Southron strength +1 for each burden you spot (limit +5), or make a [RAIDER] Man strength +2.
Flanking Attack	The Two Towers	4	LOTR04234	Shadow	Raider	Event	0						U	234		'Our scouts report more Haradrim making their way up here....'	Maneuver or Skirmish: Exert a Southron to add (3).
Gathering to the Summons	The Two Towers	4	LOTR04235	Shadow	Raider	Event	0						C	235		These were Men of other race, out of the wide Eastlands....	Skirmish: Spot a [RAIDER] Man skirmishing a Ring-bound companion to add a burden.
Howl of Harad	The Two Towers	4	LOTR04236	Shadow	Raider	Condition	1						U	236	Game text is an erratum. 	Blood-curdling cries rout the Southrons' enemies from the battlefield.	Plays to your support area. Each time a companion or ally loses a skirmish involving a Southron, you may remove (4) to make the Free Peoples Player wound a Ring-bound companion.
Ithilien Wilderness	The Two Towers	4	LOTR04237	Shadow	Raider	Condition	0					U	R	237	Game text is an erratum. 		Plays to your support area. At the end of each phase during which the fellowship moved to site 7T, 8T, or 9T and the twilight pool has fewer than 7 twilight tokens, you may add (8). Skirmish: Discard this condition to make a [RAIDER] Man strength +2.
Men of Harad	The Two Towers	4	LOTR04238	Shadow	Raider	Condition	0						R	238		The savage Haradrim, men from the kingdoms south of Gondor and Mordor, were called Southrons.	Plays to your support area. Shadow: Spot a site you control, spot 3 Southrons, and remove (2) to draw a card.
Men of Rhun	The Two Towers	4	LOTR04239	Shadow	Raider	Event	2						C	239		Sudden war came upon Gondor out of Rh?n, land of the East.	Skirmish: Make a [RAIDER] Man strength +3 (or +4 if you spot 4 burdens).
New Fear	The Two Towers	4	LOTR04240	Shadow	Raider	Event	4						R	240		They heard singing and coarse shouting. At first it seemed a long way off, but it drew nearer....	Regroup: Exert a [RAIDER] Man to add a burden for each companion over 4. The Free Peoples player may discard 2 companions (except the Ring-bearer) to prevent this.
On the March	The Two Towers	4	LOTR04241	Shadow	Raider	Event	2						C	241		Easterlings traveled up the ancient roads of Gondor to swell the hosts of the Dark Tower.	Skirmish: Make a [RAIDER] Man strength +3 (or +5 if you spot 6 companions).
Raiders From the East	The Two Towers	4	LOTR04242	Shadow	Raider	Condition	0						U	242		The Easterlings raid their enemies to gather supplies and equipment.	Plays to your support area. Shadow: Remove (3) and exert a [RAIDER] Man to place a [RAIDER] token here. Maneuver: Remove a [RAIDER] token here to add (1).
Rapid Fire	The Two Towers	4	LOTR04243	Shadow	Raider	Event	6						R	243		Wars between the southern kingdoms taught speed and precision to the archers of the Haradrim.	Archery: Exert a [RAIDER] archer to make the minion archery total +1 for each burden (limit +5).
Regiment of Haradrim	The Two Towers	4	LOTR04244	Shadow	Raider	Minion - Man	8	16	4		4	U	R	244		'One of their regiments is due by our reckoning to pass by, some time ere noon....'	Southron. To play, spot a [RAIDER] Man. Regroup: Exert Regiment of Haradrim twice to take control of a site.
Southron Archer	The Two Towers	4	LOTR04245	Shadow	Raider	Minion - Man	3	6	2		4		R	245		'They have passed on to the Black Gate; but more may follow.'	Southron. Archer. While you can spot another Southron, the minion archery total is +1 for each site you control.
Southron Assassin	The Two Towers	4	LOTR04246	Shadow	Raider	Minion - Man	4	9	2		4		R	246		'Some of the Southrons have broken from the trap and are flying from the road.'	Southron. Each time a companion or ally loses a skirmish involving a Southron, you may remove (1) to make the Free Peoples player wound a Ring-bound companion.
Southron Bow	The Two Towers	4	LOTR04247	Shadow	Raider	Possession - Ranged Weapon	3						R	247		Volleys from Southron bows are deadly in large numbers.	Bearer must be a [RAIDER] Man. Bearer is an archer. While you can spot another [RAIDER] Man, the minion archery total is +1.
Southron Bowman	The Two Towers	4	LOTR04248	Shadow	Raider	Minion - Man	3	6	2		4		C	248		The Southron armies deploy archers to harass enemy troop formations.	Southron. Archer. Archery: Exert this minion to exert a companion (except the Ring-bearer); this minion does not add to the minion archery total.
Southron Commander	The Two Towers	4	LOTR04249	Shadow	Raider	Minion - Man	5	10	3		4		U	249		'Almost as bad as Orcs, and much bigger.'	Southron. Ambush (1). Assignment: Spot 6 companions to assign this minion to the Ring-bearer. The Free Peoples player may discard an unbound companion to prevent this.
Southron Explorer	The Two Towers	4	LOTR04250	Shadow	Raider	Minion - Man	2	5	3		4		U	250		Scouts find oases for Southron armies as they cross the deserts of Harad.	Southron. Regroup: Exert this minion and remove (5) to take control of a site.
Southron Fighter	The Two Towers	4	LOTR04251	Shadow	Raider	Minion - Man	5	10	3		4		R	251	The foil version of this card has a different image from the non-foil version. 	'...they have come out of the South beyond the Great River's end....'	Southron. Ambush (1). Maneuver: Exert this minion and spot 5 companions to make the Free Peoples player exert a companion.
Southron Scout	The Two Towers	4	LOTR04252	Shadow	Raider	Minion - Man	1	3	1		4		C	252		'They have black eyes, and long black hair, and gold rings in their ears....'	Southron. Ambush (2).
Southron Sentry	The Two Towers	4	LOTR04253	Shadow	Raider	Minion - Man	4	9	2		4		U	253		Pickets guarded the borders of the Southron encampment.	Southron. Maneuver: Exert this minion to add (2) for each site you control.
Southron Soldier	The Two Towers	4	LOTR04254	Shadow	Raider	Minion - Man	2	4	1		4		C	254		The kingdoms of Harad fight countless wars and train thousands of warriors.	Southron. Ambush (2).
Southron Spear	The Two Towers	4	LOTR04255	Shadow	Raider	Possession - Hand Weapon	1	2					C	255		Long pikes defend the Southrons against the armored knights of Gondor.	Bearer must be a Southron. Skirmish: Remove (4) and exert bearer to wound a companion or ally bearer is skirmishing.
Southron Troop	The Two Towers	4	LOTR04256	Shadow	Raider	Minion - Man	7	14	4		4		R	256			Southron. Archer. Ambush (1). To play, spot a Southron. Assignment: Spot 7 companions to assign this minion to the Ringbearer. The Free Peoples player may make you discard a companion (except the Ring-bearer) to prevent this.
Southron Veterans	The Two Towers	4	LOTR04257	Shadow	Raider	Minion - Man	5	10	3		4		R	257		He caught a glimpse of swarthy men... running down the slope some way off....	Southron. Ambush (1). Maneuver: Exert this minion and spot 6 companions to make the Free Peoples player exert 2 companions.
Southron Wanderer	The Two Towers	4	LOTR04258	Shadow	Raider	Minion - Man	3	8	2		4		C	258		Some desert warriors have no allegiance and work for any faction that will pay them.	Southron. Ambush (1). Assignment: Exert this minion and spot 5 companions to assign this minion to the Ringbearer. The Free Peoples player may add (4) to prevent this.
Vision From Afar	The Two Towers	4	LOTR04259	Shadow	Raider	Event	2						R	259		Then he knew that the hope that had for one wild moment stirred in his heart was vain.	Assignment: Assign an Easterling to the Ring-bearer. The Free Peoples player may add a burden to prevent this.
Whirling Strike	The Two Towers	4	LOTR04260	Shadow	Raider	Event	3						C	260		The Southrons fight with tactics the men of Gondor have never before seen.	Skirmish: Wound a companion or ally skirmishing a [RAIDER] Man.
Wrath of Harad	The Two Towers	4	LOTR04261	Shadow	Raider	Condition	1						R	261		Massed Southron troops prepared to attack Gondor.	Plays to your support area. While you can spot a [RAIDER] Man, each Free Peoples event that spots or exerts a ranger gains this cost: 'wound a companion.' Skirmish: Discard this condition to make a [RAIDER] Man strength +2.
Aldor, Soldier of Edoras	The Two Towers	4	LOTR04262	Free Peoples	Rohan	Ally - Home 3T & 6T - Man	1	3	2		3T, 6T	U	R	262		Fighting to defend his people, Aldor found courage to replace his youth.	Archery: Exert Aldor and spot a villager to make the fellowship archery total +1.
Brego	The Two Towers	4	LOTR04263	Free Peoples	Rohan	Possession - Mount	1					U	U	263		Brego was named for the second King of Rohan.	To play, spot a [ROHAN] Man. Bearer must be a Man, Elf, or Wizard. When you play Brego, you may heal bearer. At the start of each skirmish involving bearer, each minion skirmishing bearer must exert.
Ceorl, Weary Horseman	The Two Towers	4	LOTR04264	Free Peoples	Rohan	Companion - Man	2	6	3	6		U	U	264		'We were driven back yesterday over the Isen with great loss; many perished at the crossing.'	Response: If your opponent is about to take control of a site, exert Ceorl and a villager to prevent this.
Elite Rider	The Two Towers	4	LOTR04265	Free Peoples	Rohan	Companion - Man	3	6	3	6			C	265	Version: *. 	After him they rode: a long line of mailclad men, swift, shining, fell and fair to look upon.	When this companion is in your starting fellowship, his twilight cost is -1. While skirmishing a wounded minion, this companion is strength +2.
Eomer, Sister-son of Theoden	The Two Towers	4	LOTR04266	Free Peoples	Rohan	Companion - Man	3	7	3	6	Aragorn	U	C	266		'Now indeed there is hope of victory!'	While you can spot a [ROHAN] Man, Eomer's twilight cost is -1. At the start of each turn, you may heal a [ROHAN] ally.
Eomer, Third Marshal of Riddermark	The Two Towers	4	LOTR04267	Free Peoples	Rohan	Companion - Man	3	7	3	6	Theoden	U	R	267		Then one rode forward, a tall man, taller than the rest; from his helm as a crest a white horsetail flowed.	While you can spot a [ROHAN] Man, Eomer's twilight cost is -1. Eomer is strength +2 for each wound on each minion he is skirmishing.
Eomer's Spear	The Two Towers	4	LOTR04268	Free Peoples	Rohan	Possession - Hand Weapon	1	2				U	U	268		He advanced until the point of his spear was within a foot of Aragorn's breast.	Bearer must be a [ROHAN] Man. If bearer is Eomer and he is mounted, Eomer is damage +2.
Eothain, Scout of the Mark	The Two Towers	4	LOTR04269	Free Peoples	Rohan	Companion - Man	2	6	3	6		U	R	269		'Time is pressing.... We must hasten south, lord.'	Each time the fellowship moves to a plains site, each minion must exert.
Eowyn, Lady of Rohan	The Two Towers	4	LOTR04270	Free Peoples	Rohan	Companion - Man	2	6	3	6	Theoden	U	C	270		Thus Aragorn... beheld Eowyn... and thought her fair, fair and cold, like a morning of pale spring that is not yet come to womanhood.	Valiant. Response: If an unbound companion is about to take a wound, exert Eowyn and add (1) to prevent that wound.
Eowyn, Sister-daughter of Theoden	The Two Towers	4	LOTR04271	Free Peoples	Rohan	Companion - Man	2	6	3	6	Aragorn	U	R	271		Slender and tall she was... but strong she seemed and stern as steel, a daughter of kings.	Valiant. Response: If Eowyn is exhausted and about to take a wound in a skirmish, discard 2 cards from hand to prevent that wound.
Eowyn's Sword	The Two Towers	4	LOTR04272	Free Peoples	Rohan	Possession - Hand Weapon	1	3				U	R	272		...the sword was set upright before her, and her hands were laid upon the hilt.	Bearer must be Eowyn. While you can spot a villager, Eowyn is damage +1.
Fight for the Villagers	The Two Towers	4	LOTR04273	Free Peoples	Rohan	Event	1						C	273		'Bar the gates, set a watch on the surrounds, and get the women and children to the caves.'	Skirmish: Make a [ROHAN] Man strength +2 (or +3 if you spot a villager).
Firefoot	The Two Towers	4	LOTR04274	Free Peoples	Rohan	Possession - Mount	2					U	R	274		Riders of his ?ored claimed that ?omer's horse had no equal, save Shadowfax.	Bearer must be a [ROHAN] Man. If bearer is Eomer, he is defender +1. At the start of each skirmish involving bearer, each minion skirmishing bearer must exert.
Forth Eorlingas!	The Two Towers	4	LOTR04275	Free Peoples	Rohan	Event	1						U	275		Behind them from the Deep came the stern cries of men issuing from the caves, driving forth the enemy.'	Maneuver: Exert Theoden to make a companion who has the Theoden signet defender +1 until the regroup phase.
Fortress Never Fallen	The Two Towers	4	LOTR04276	Free Peoples	Rohan	Condition	2					U	U	276	Lists: ERL	'...it was the spirit of your people that held it strong.'	Plays to your support area. Each time a [ROHAN] Man wins a skirmish, you may place a [ROHAN] token on this card. Regroup: Discard a Shadow condition for each [ROHAN] token here. Discard this condition.
Guma, Plains Farmer	The Two Towers	4	LOTR04277	Free Peoples	Rohan	Ally - Home 4T - Man	1	4	2		4T	U	C	277		Foodstores swelled as refugees like Guma brought provisions to the Hornburg.	Villager. Discard Guma if an opponent controls his home site. Fellowship: Exert Guma to heal a [ROHAN] Man.
Heavy Chain	The Two Towers	4	LOTR04278	Free Peoples	Rohan	Possession - Armor	1						C	278		What Man of an earlier age wore this chain? Was his end worth a song?	Bearer must be a Man. Bearer may not be overwhelmed unless his or her strength is tripled.
Helm! Helm!	The Two Towers	4	LOTR04279	Free Peoples	Rohan	Event	2						R	279		And with that shout the king came. His horse was white as snow, golden was his shield, and his spear was long.	Regroup: Spot 2 mounted [ROHAN] Men to liberate a site or draw 3 cards.
Herugrim	The Two Towers	4	LOTR04280	Free Peoples	Rohan	Possession - Hand Weapon	2	2	1			U	U	280		'Here, lord, is Herugrim, your ancient blade....'	Bearer must be Theoden. He is damage +1.
Hlafwine, Village Farmhand	The Two Towers	4	LOTR04281	Free Peoples	Rohan	Ally - Home 4T - Man	1	4	2		4T	U	C	281		Too old to fight, Hlafwine prepared meals for the defenders.	Villager. Discard Hlafwine if an opponent controls his home site. Skirmish: Exert Hlafwine to make a [ROHAN] Man strength +2.
An Honorable Charge	The Two Towers	4	LOTR04282	Free Peoples	Rohan	Event	1						U	282		'A time may come when there will be a need for valour without renown....'	Skirmish: Make an unbound companion strength +1 for each [ROHAN] Man you spot (limit +3).
Horse of Rohan	The Two Towers	4	LOTR04283	Free Peoples	Rohan	Possession - Mount	2						C	283		Very swift were the horses of Rohan.	To play, spot a [ROHAN] Man. Bearer must be a Man, Elf, or Wizard. At the start of each skirmish involving bearer, each minion skirmishing bearer must exert.
King's Mail	The Two Towers	4	LOTR04284	Free Peoples	Rohan	Possession - Armor	2					U	R	284		Now men came bearing raiment of war from the king's hoard....	Bearer must be a [ROHAN] Man. Bearer takes no more than 1 wound during each skirmish phase. If bearer is Theoden, he may not take wounds except during a skirmish involving him.
Leod, Westfold Herdsman	The Two Towers	4	LOTR04285	Free Peoples	Rohan	Ally - Home 4T - Man	1	4	2		4T	U	U	285		Humble L?od was a rancher before he became a soldier at Helm's Deep.	Villager. Discard Leod if an opponent controls his home site. Skirmish: Exert Leod to make a mounted companion strength +2.
Rider of Rohan	The Two Towers	4	LOTR04286	Free Peoples	Rohan	Companion - Man	2	5	3	6			C	286		'They are proud and wilful, but they are true-hearted, generous in thought and deed....'	Skirmish: If this companion is mounted, exert him to exert a minion skirmishing an unbound companion.
Rider's Mount	The Two Towers	4	LOTR04287	Free Peoples	Rohan	Possession - Mount	1						C	287	Version: *. 	Their horses were of great stature, strong and clean-limbed; their grey coats glistened, their long tails flowed in the wind....	Bearer must be a [ROHAN] Man. At the start of each skirmish involving bearer, each minion skirmishing bearer must exert.
Rider's Spear	The Two Towers	4	LOTR04288	Free Peoples	Rohan	Possession - Hand Weapon	1	2					C	288	Version: *. 	Shafts of the sun flared above the eastern hills and glimmered on their spears.	Bearer must be a [ROHAN] Man. If bearer is mounted, bearer is damage +1.
Simbelmyne	The Two Towers	4	LOTR04289	Free Peoples	Rohan	Event	1						R	289		'How fair are the bright eyes in the grass! Evermind they are called... for they blossom in all seasons of the year, and grow where dead men rest.'	Fellowship: Spot 2 [ROHAN] Men (or 1 valiant [ROHAN] Man) to play a [ROHAN] character or [ROHAN] possession from your draw deck.
Simbelmyne (T)	The Two Towers	4	LOTR04289T	Free Peoples	Rohan	Event - Fellowship	1						R	289T	Tengwar	'How fair are the bright eyes in the grass! Evermind they are called... for they blossom in all seasons of the year, and grow where dead men rest.'	Fellowship: Spot 2 [ROHAN] Men (or 1 valiant [ROHAN] Man) to play a [ROHAN] character or [ROHAN] possession from your draw deck. 
Supplies of the Mark	The Two Towers	4	LOTR04290	Free Peoples	Rohan	Condition	0						R	290		'This is all we could save, my Lady.'	Plays to your support area. Fellowship: Add (2) and place a villager from hand beneath your draw deck to heal a [ROHAN] ally.
Sword of Rohan	The Two Towers	4	LOTR04291	Free Peoples	Rohan	Possession - Hand Weapon	1	2					C	291		'This is a good sword, Haleth, son of H?ma... there is always hope.'	Bearer must be a [ROHAN] Man. While bearer is skirmishing an Uruk-hai, bearer is damage +1.
Theoden, Son of Thengel	The Two Towers	4	LOTR04292	Free Peoples	Rohan	Companion - Man	2	6	2	6	Aragorn	U	C	292		'I myself will go to war, to fall in the front of the battle, if it must be.'	Regroup: Spot a [ROHAN] ally and exert Theoden to liberate a site.
Valleys of the Mark	The Two Towers	4	LOTR04293	Free Peoples	Rohan	Condition	1						R	293		'Where is the hand on the harpstring, and the red fire glowing? / Where is the spring and the harvest and the tall corn growing?'	Plays to your support area. Each time your opponent plays a roaming minion, you may spot a villager to exert that minion.
Weapon Store	The Two Towers	4	LOTR04294	Free Peoples	Rohan	Condition	1						R	294		'And to you my other guests I will offer such things as may be found in my armoury.'	Plays to your support area. Fellowship: Exert a [ROHAN] Man to play a hand weapon from your discard pile.
Weland, Smith of the Riddermark	The Two Towers	4	LOTR04295	Free Peoples	Rohan	Ally - Home 4T - Man	1	4	2		4T	U	U	295		A tender of horses, Weland found much work at Helm's Deep.	Villager. Discard Weland if an opponent controls his home site. Fellowship: Exert Weland to heal a mounted companion.
Well Stored	The Two Towers	4	LOTR04296	Free Peoples	Rohan	Condition	1						U	296		'Behind us in the caves of the Deep are... old and young, children and women. But great store of food, and many beasts and their fodder, have also been gathered there.'	Plays to your support area. At the start of each fellowship phase, you may heal a villager.
Work for the Sword	The Two Towers	4	LOTR04297	Free Peoples	Rohan	Event	1						C	297		'The Orcs are destroyed. We slaughtered them during the night.'	Skirmish: Make a [ROHAN] Man strength +2 (and damage +2 if mounted).
